Entity,Year,"GDP per capita, PPP (constant 2021 international $)",Urban population (HYDE estimates and UN projections),Rural population (HYDE estimates and UN projections),Population - Scenario: SSP2 - Sex: All -Age: All -Education: Post Secondary, Population - Scenario: SSP2 - Sex: All -Age: All - Education: Upper Secondary,Population - Scenario: SSP2 - Sex: All - Age: All -Education: Lower Secondary,Population - Scenario: SSP2 - Sex: All -Age: All -Education: Primary,Population - Scenario: SSP2 - Sex: All -Age: All -Education: Incomplete Primary,Population - Scenario: SSP2 - Sex: All -Age: All -Education: None,Population - Scenario: SSP2 - Sex: All -Age: All -Education: Under 15,Individuals using the Internet (% of population),Fixed telephone subscriptions,Fixed broadband subscriptions,Mobile cellular subscriptions,Number of Internet users,65+ years_x,25-64 years_x,15-24 years_x,5-14 years_x,0-4 years_x,65+ years_y,25-64 years_y,15-24 years_y,5-14 years_y,0-4 years_y,Death rate,Birth rate,Other renewables excluding bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from solar - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from wind - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from hydro - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from nuclear - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from oil - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from gas - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from coal - TWh (adapted for visualization of chart electricity-prod-source-stacked),Access to electricity (% of population),Annual CO₂ emissions
Andorra,1970,,19529.0,4747.0,,,,,,,,,1890.0,,0.0,,542.0,4426.0,1580.0,1854.0,952.0,468.0,4945.0,2025.0,2216.0,1018.0,4.565,19.43,,,,,,,,,,,
Andorra,1971,,20936.783,4622.2173,,,,,,,,,1890.0,,,,578.0,4672.0,1778.0,1955.0,1019.0,515.0,5256.0,2296.0,2332.0,1086.0,4.449,19.635,,,,,,,,,,,
Andorra,1972,,22439.6,4452.4,,,,,,,,,1890.0,,,,619.0,4932.0,1989.0,2037.0,1096.0,567.0,5611.0,2573.0,2410.0,1167.0,4.331,20.213,,,,,,,,,,,
Andorra,1973,,23975.236,4256.7646,,,,,,,,,1890.0,,,,658.0,5229.0,2197.0,2105.0,1175.0,626.0,6006.0,2849.0,2464.0,1255.0,4.227,19.92,,,,,,,,,,,
Andorra,1974,,25450.2,4069.8003,,,,,,,,,1890.0,,,,701.0,5553.0,2404.0,2170.0,1252.0,684.0,6440.0,3115.0,2503.0,1346.0,4.14,19.669,,,,,,,,,,,
Andorra,1975,,26793.377,3911.6228,,,,,,,,,3857.0,,0.0,,754.0,5907.0,2599.0,2234.0,1328.0,753.0,6916.0,3368.0,2533.0,1429.0,4.062,18.163,,,,,,,,,,,
Andorra,1976,,28016.496,3760.5032,,,,,,,,,4174.0,,0.0,,814.0,6291.0,2762.0,2309.0,1390.0,829.0,7430.0,3589.0,2573.0,1494.0,3.979,16.799,,,,,,,,,,,
Andorra,1977,,29103.46,3667.5388,,,,,,,,,4713.0,,0.0,,875.0,6718.0,2897.0,2397.0,1434.0,913.0,7993.0,3754.0,2638.0,1523.0,3.93,15.901,,,,,,,,,,,
Andorra,1978,,30185.574,3551.4265,,,,,,,,,5543.0,,0.0,,945.0,7182.0,2994.0,2504.0,1442.0,1001.0,8610.0,3859.0,2736.0,1508.0,3.894,15.154,,,,,,,,,,,
Andorra,1979,,31509.809,3308.192,,,,,,,,,6329.0,,0.0,,1018.0,7675.0,3056.0,2629.0,1403.0,1090.0,9266.0,3911.0,2860.0,1442.0,3.891,14.784,,,,,,,,,,,
